זיהוי ממג מגרש *,מספר גוש *,מספר מגרש *,קוד ייעוד ראשי,תיאור ייעוד ראשי,שטח רשום,שטח גרפי,Shape_Length,Shape_Area,צורה *
39858,7084,41,1002,מסחר,220,211.16,63.400986,211.158418,Polygon
39859,7084,75,1002,מסחר,310,313.45,71.874995,313.446245,Polygon
39860,7084,42,1002,מסחר,218,210.63,62.989235,210.632222,Polygon
39861,7084,84,1002,מסחר,329,322.59,72.103251,322.591049,Polygon
39862,7084,85,1002,מסחר,312,311.72,71.595819,311.715374,Polygon
39863,7084,34,1010,אחר,224,229.78,63.422274,229.78313,Polygon
39864,8984,21,1002,מסחר,213,207.62,57.745287,207.616673,Polygon
39865,8984,50,1008,תחבורה,718,699.53,151.339757,699.533389,Polygon
39866,8988,9,1002,מסחר,218,219.94,59.919188,219.938705,Polygon
39867,8986,11,1002,מסחר,183,190.29,56.846633,190.294718,Polygon
39868,6930,59,1002,מסחר,194,191.45,55.401655,191.452193,Polygon
39869,7425,61,1002,מסחר,144,131.33,46.565074,131.326214,Polygon
39870,7425,60,1002,מסחר,110,106.08,41.332066,106.083438,Polygon
39871,8990,11,1002,מסחר,267,263.39,65.34062,263.389143,Polygon
39872,7425,55,1002,מסחר,182,196.78,56.112616,196.77916,Polygon
39873,7425,79,1002,מסחר,32,27.32,22.728829,27.319565,Polygon
39874,7425,66,1002,מסחר,120,107.33,41.540675,107.328926,Polygon
39875,7425,77,1008,תחבורה,858,856.22,181.48531,856.217106,Polygon
39876,8941,13,1002,מסחר,221,220.9,59.725624,220.898296,Polygon
39877,8941,54,1008,תחבורה,6,5.53,9.685151,5.52824,Polygon
39878,8941,46,1008,תחבורה,7,7.31,19.473283,7.31242,Polygon
39879,8941,49,1008,תחבורה,13,12.87,31.056112,12.868521,Polygon
39880,6625,1075,1008,תחבורה,196,215.92,60.764477,215.916798,Polygon
39881,6625,1087,1008,תחבורה,311,327.91,72.882799,327.907605,Polygon
39882,6904,4,1002,מסחר,437,441.71,86.993964,441.713805,Polygon
39883,7455,4,1001,מגורים,542,535.57,98.203743,535.569634,Polygon
39884,7118,2027,1001,מגורים,164.07,163.91,55.507237,163.908225,Polygon
39885,6947,10,1002,מסחר,412.11,411.93,84.11895,411.927895,Polygon
39886,7442,12,1002,מסחר,626,637.17,101.895989,637.174816,Polygon
39887,6625,1218,1005,מבנים ומוסדות ציבור,504,641.09,119.910062,641.087616,Polygon
39888,6625,1212,1001,מגורים,2344,2193.17,187.415411,2193.166768,Polygon
39889,6625,1018,1008,תחבורה,1318,1541.79,428.561986,1541.789568,Polygon
39890,6918,79,1009,שטח לתכנון בעתיד,556,542.63,95.244905,542.6327,Polygon
39891,7016,2265,1001,מגורים,210.57,213.98,71.298865,213.975873,Polygon
39892,7016,14,1001,מגורים,344,339.22,72.810793,339.222444,Polygon
39893,7016,2324,1008,תחבורה,1.76,1.75,6.410416,1.747058,Polygon
39894,7016,48,1001,מגורים,300,297.81,70.661694,297.814007,Polygon
39895,6625,3113,1006,שטחים פתוחים,1082.93,1076.28,147.022059,1076.279086,Polygon
39896,6973,2173,1008,תחבורה,13.34,13.33,19.452937,13.330898,Polygon
39897,6975,2053,1001,מגורים,173.7,181.71,55.435178,181.708176,Polygon
39898,6975,114,1001,מגורים,485,500.78,91.895366,500.777199,Polygon
39899,6975,2129,1001,מגורים,491.66,506.18,89.581715,506.177905,Polygon
39900,7091,13,1001,מגורים,415,410.06,84.098971,410.057694,Polygon
39901,6625,2493,1006,שטחים פתוחים,1355.18,1331.98,158.439453,1331.982837,Polygon
39902,6972,2031,1003,תעסוקה,57.24,55.81,30.292934,55.813572,Polygon
39903,6972,2019,1003,תעסוקה,253.18,240.06,65.164542,240.063404,Polygon
39904,6625,815,1001,מגורים,527,553.28,94.355706,553.279177,Polygon
39905,6625,1167,1008,תחבורה,282,239.13,108.67796,239.131976,Polygon
39906,6972,2027,1003,תעסוקה,278.86,278.32,67.760082,278.321579,Polygon
39907,6972,2013,1003,תעסוקה,260.68,261,81.339633,260.998458,Polygon
39908,6972,304,1008,תחבורה,181,157.47,63.66572,157.473771,Polygon
